play it safe	打稳点
tilted	心态崩了
he's so tilted	他急死了他急死了
int	故意送
utility	道具
headset	耳麦 
headphones	耳机
entry fragger	突破手
repeek	露完再露
SMG	冲锋枪
wrap	包夹
freezetime	冻结时间
blender	搅拌机
rolling over the competition	碾压了对手
meta	常规打法 惯用打法
jiggle	晃小身位
jiggle peek	小身位拉
preaim	预瞄 
crosshair placement	预瞄
bait and switch	一个卖一个出来打
retreat	撤退
scope	瞄准镜
B execute/B exec B	爆弹
ks kill steal	抢人头 
why'd you ks	你为啥抢人头
keep a cool head	保持冷静
morale	士气
laying down smoke 铺烟了
comeback		翻盘
lost but won 虽败犹荣
